Stock,LTP,Total Qty,Kite-P Qty,Int-P Qty,Int-V Qty,Total Value,Overlap,Accounts
HDFCBANK,739.5,184,126,29,29,136068.00,Yes,"K,IP,IV"
ITC,267.0,438,416,10,12,116946.00,Yes,"K,IP,IV"
HYUNDAI,2144.0,49,49,0,0,105056.00,No,K
AVALON,2485.9,35,0,35,0,87006.50,No,IP
GOLDBEES,125.65,575,389,0,186,72248.75,Yes,"K,IV"
HEROMOTOCO,5419.0,12,0,7,5,65028.00,Yes,"IP,IV"
CUB,234.94,262,0,262,0,61554.28,No,IP
CDSL,1361.0,45,40,0,5,61245.00,Yes,"K,IV"
RELIANCE,1247.7,41,41,0,0,51155.70,No,K
MUTHOOTFIN,2854.2,16,7,1,8,45667.20,Yes,"K,IP,IV"
AGARIND,408.55,100,0,100,0,40855.00,No,IP
INFY,1051.4,36,9,7,20,37850.40,Yes,"K,IP,IV"
DRREDDY,1198.3,28,5,0,23,33552.40,Yes,"K,IV"
NIFTYBEES,267.76,120,107,5,8,32131.20,Yes,"K,IP,IV"
TCS,2128.7,15,4,5,6,31930.50,Yes,"K,IP,IV"
GROWW,190.6,150,150,0,0,28590.00,No,K
BSE,3161.0,9,0,5,4,28449.00,Yes,"IP,IV"
WIPRO,164.55,170,24,98,48,27973.50,Yes,"K,IP,IV"
MANKIND,2437.8,11,0,11,0,26815.80,No,IP
VBL,425.0,63,0,46,17,26775.00,Yes,"IP,IV"
PETRONET,287.5,92,82,10,0,26450.00,Yes,"K,IP"
SOUTHBANK,45.49,575,0,515,60,26156.75,Yes,"IP,IV"
TATAPOWER,367.15,65,28,30,7,23864.75,Yes,"K,IP,IV"
CIPLA,1386.1,17,0,17,0,23563.70,No,IP
TMCV,444.5,53,45,2,6,23558.50,Yes,"K,IP,IV"
LT,3904.8,6,2,4,0,23428.80,Yes,"K,IP"
BEL,398.5,58,20,38,0,23113.00,Yes,"K,IP"
BAJAJ-AUTO,11490.0,2,2,0,0,22980.00,No,K
NATCOPHARM,815.0,26,0,22,4,21190.00,Yes,"IP,IV"
ICICIAMC,3211.35,6,6,0,0,19268.10,No,K
SBIN,996.0,18,0,11,7,17928.00,Yes,"IP,IV"
INDUSINDBK,956.0,17,9,8,0,16252.00,Yes,"K,IP"
IRFC,80.3,200,200,0,0,16060.00,No,K
TATASTEEL,183.4,82,0,82,0,15038.80,No,IP
MANAPPURAM,315.1,46,0,0,46,14494.60,No,IV
SILVERBEES,222.22,60,0,60,0,13333.20,No,IP
BALKRISIND,2217.8,6,6,0,0,13306.80,No,K
ASHOKLEY,161.75,80,40,10,30,12940.00,Yes,"K,IP,IV"
NTPC,326.4,35,25,10,0,11424.00,Yes,"K,IP"
COALINDIA,414.7,27,15,12,0,11196.90,Yes,"K,IP"
JUNIORBEES,782.31,14,6,5,3,10952.34,Yes,"K,IP,IV"
M&M,3062.0,3,3,0,0,9186.00,No,K
HCLTECH,1281.0,7,0,0,7,8967.00,No,IV
BAJAJFINSV,1849.8,4,0,4,0,7399.20,No,IP
EIDPARRY,699.25,10,10,0,0,6992.50,No,K
JKPAPER,422.9,15,15,0,0,6343.50,No,K
ADANIPOWER,206.55,30,0,0,30,6196.50,No,IV
SUNPHARMA,1868.9,3,0,0,3,5606.70,No,IV
ACC,1252.55,4,4,0,0,5010.20,No,K
HAL,4826.0,1,0,1,0,4826.00,No,IP
DATAPATTNS,4511.8,1,0,1,0,4511.80,No,IP
HINDOILEXP,176.63,25,25,0,0,4415.75,No,K
ITCHOTELS,156.45,28,27,0,1,4380.60,Yes,"K,IV"
RTNINDIA,27.13,150,150,0,0,4069.50,No,K
ARE&M,794.3,5,0,5,0,3971.50,No,IP
TMPV,301.65,13,5,2,6,3921.45,Yes,"K,IP,IV"
POWERGRID,266.1,12,0,12,0,3193.20,No,IP
BHEL,433.4,7,0,7,0,3033.80,No,IP
GESHIP,1485.0,2,0,2,0,2970.00,No,IP
ICICIBANK,1345.0,2,2,0,0,2690.00,No,K
JSWSTEEL,1268.6,2,0,0,2,2537.20,No,IV
SHRIRAMPPS,71.56,35,35,0,0,2504.60,No,K
BDL,1175.0,2,0,1,1,2350.00,Yes,"IP,IV"
ZYDUSLIFE,1161.0,2,0,2,0,2322.00,No,IP
IDEAFORGE,766.05,3,0,3,0,2298.15,No,IP
CANBK,123.7,17,0,17,0,2102.90,No,IP
AUBANK,1038.0,2,0,2,0,2076.00,No,IP
AMBUJACEM,390.75,5,0,0,5,1953.75,No,IV
BPCL,312.75,6,0,6,0,1876.50,No,IP
BHARTIARTL,1830.2,1,0,0,1,1830.20,No,IV
ADANIPORTS,1787.1,1,0,1,0,1787.10,No,IP
HINDZINC,591.8,3,0,3,0,1775.40,No,IP
INOXGREEN,172.34,10,0,10,0,1723.40,No,IP
BIOCON,395.0,4,0,4,0,1580.00,No,IP
PFC,344.75,4,0,4,0,1379.00,No,IP
SUNTV,456.9,3,3,0,0,1370.70,No,K
RITES,203.23,6,0,6,0,1219.38,No,IP
ENGINERSIN,285.1,4,4,0,0,1140.40,No,K
IREDA,111.0,10,0,10,0,1110.00,No,IP
IDFCFIRSTB,85.5,10,10,0,0,855.00,No,K
SAIL,177.3,4,0,0,4,709.20,No,IV
