Stock,LTP,TotalQty,KiteP,IntP,IntV_20Sep,Invested,Value,PnL,PnLPct,Accounts
HDFCBANK,735.8,189,126,34,29,121346,139066,17720,14.6,3
ITC,269.0,438,416,10,12,101352,117822,16470,16.3,3
HYUNDAI,2105.0,49,49,,,96040,103145,7105,7.4,1
AVALON,2328.5,35,,35,,15260,81498,66238,434.1,1
GOLDBEES,124.43,567,389,,178,30633,70552,39919,130.3,2
HEROMOTOCO,5360.0,12,,7,5,56442,64320,7878,14.0,2
CDSL,1318.0,45,40,,5,10764,59310,48546,451.0,2
CUB,225.57,262,,262,,58685,59099,414,0.7,1
RELIANCE,1226.0,43,41,2,,43297,52718,9421,21.8,2
MUTHOOTFIN,2826.0,16,7,1,8,47854,45216,-2638,-5.5,3
INFY,1000.2,45,13,12,20,51698,45009,-6689,-12.9,3
AGARIND,397.9,100,,100,,54845,39790,-15055,-27.5,1
TCS,2082.0,18,4,8,6,39145,37476,-1669,-4.3,3
DRREDDY,1202.8,28,5,,23,34379,33678,-700,-2.0,2
WIPRO,164.02,185,24,113,48,35855,30344,-5511,-15.4,3
NIFTYBEES,264.13,112,107,5,,30762,29583,-1179,-3.8,2
PETRONET,286.5,102,82,20,,28422,29223,801,2.8,2
BSE,3191.5,9,,5,4,12287,28724,16437,133.8,2
SOUTHBANK,49.95,575,,515,60,10122,28721,18600,183.8,2
GROWW,187.25,150,150,,,15000,28088,13088,87.2,1
VBL,434.8,63,,46,17,21400,27392,5993,28.0,2
MANKIND,2474.9,11,,11,,11880,27224,15344,129.2,1
LT,3876.2,7,2,5,,24509,27133,2625,10.7,2
NATCOPHARM,839.3,30,4,22,4,26879,25179,-1700,-6.3,3
TATAPOWER,366.8,65,28,30,7,19257,23842,4585,23.8,3
CIPLA,1399.7,17,,17,,24890,23795,-1095,-4.4,1
TMCV,440.95,53,45,2,6,21658,23370,1712,7.9,3
BEL,393.0,58,20,38,,19722,22794,3072,15.6,2
BAJAJ-AUTO,11281.0,2,2,,,4822,22562,17740,367.9,1
SBIN,983.0,20,,13,7,16453,19660,3207,19.5,2
ICICIAMC,3184.6,6,6,,,12990,19108,6118,47.1,1
M&M,3035.0,6,3,3,,18628,18210,-418,-2.2,2
MANAPPURAM,334.0,51,5,,46,11146,17034,5888,52.8,2
IRFC,80.0,200,200,,,18200,16000,-2200,-12.1,1
INDUSINDBK,912.5,17,9,8,,14667,15512,846,5.8,2
TATASTEEL,187.97,82,,82,,12024,15414,3390,28.2,1
BALKRISIND,2180.0,7,6,1,,12071,15260,3189,26.4,2
HCLTECH,1258.0,12,,5,7,14364,15096,732,5.1,2
SILVERBEES,218.8,60,,60,,9331,13128,3797,40.7,1
ASHOKLEY,159.0,80,40,10,30,6533,12720,6187,94.7,3
COALINDIA,426.1,27,15,12,,11073,11505,432,3.9,2
NTPC,326.6,35,25,10,,11649,11431,-218,-1.9,2
JUNIORBEES,773.95,11,6,5,,8620,8513,-107,-1.2,2
BAJAJFINSV,1771.0,4,,4,,7706,7084,-622,-8.1,1
EIDPARRY,704.9,10,10,,,7050,7049,-1,-0.0,1
JKPAPER,409.0,15,15,,,5788,6135,347,6.0,1
ADANIPOWER,202.75,30,,,30,1843,6082,4240,230.1,1
SUNPHARMA,1852.2,3,,,3,2512,5557,3044,121.2,1
ACC,1235.1,4,4,,,4717,4940,223,4.7,1
HAL,4800.0,1,,1,,3479,4800,1321,38.0,1
ITCHOTELS,161.9,28,27,,1,6085,4533,-1552,-25.5,2
DATAPATTNS,4418.8,1,,1,,1616,4419,2803,173.4,1
HINDOILEXP,173.65,25,25,,,5212,4341,-871,-16.7,1
RTNINDIA,27.19,150,150,,,11722,4078,-7644,-65.2,1
ARE&M,791.95,5,,5,,4169,3960,-210,-5.0,1
TMPV,290.3,13,5,2,6,4823,3774,-1049,-21.8,3
POWERGRID,269.5,12,,12,,3454,3234,-220,-6.4,1
GESHIP,1497.2,2,,2,,1777,2994,1217,68.5,1
BHEL,418.95,7,,7,,1387,2933,1546,111.5,1
ICICIBANK,1326.8,2,2,,,2810,2654,-156,-5.6,1
JSWSTEEL,1277.0,2,,,2,1967,2554,587,29.8,1
SHRIRAMPPS,71.17,35,35,,,3017,2491,-526,-17.4,1
ZYDUSLIFE,1203.9,2,,2,,1817,2408,590,32.5,1
BDL,1140.0,2,,1,1,2188,2280,92,4.2,2
IDEAFORGE,729.85,3,,3,,1078,2190,1112,103.1,1
CANBK,124.99,17,,17,,1439,2125,685,47.6,1
AUBANK,1018.0,2,,2,,1096,2036,940,85.8,1
AMBUJACEM,383.8,5,,,5,2403,1919,-484,-20.1,1
JYOTHYLAB,191.07,10,10,,,1931,1911,-20,-1.0,1
BPCL,308.5,6,,6,,1573,1851,278,17.7,1
ADANIPORTS,1788.0,1,,1,,719,1788,1069,148.8,1
BHARTIARTL,1785.4,1,,,1,1621,1785,165,10.2,1
HINDZINC,588.95,3,,3,,1288,1767,479,37.2,1
INOXGREEN,172.32,10,,10,,1284,1723,439,34.2,1
SUNTV,513.2,3,3,,,1557,1540,-17,-1.1,1
BIOCON,382.15,4,,4,,1398,1529,131,9.4,1
PFC,338.0,4,,4,,1620,1352,-268,-16.6,1
ENGINERSIN,315.7,4,4,,,877,1263,386,44.0,1
RITES,199.31,6,,6,,1297,1196,-101,-7.8,1
IREDA,113.22,10,,10,,1486,1132,-354,-23.8,1
IDFCFIRSTB,83.84,10,10,,,859,838,-21,-2.4,1
SAIL,185.0,4,,,4,308,740,432,140.0,1
